Step	,episode.rwd	,episode.q	,episode.loss	,epsilon	,time
70490	,3	,13.5784604289	,0.871003023739	0.92951	,1073.05016088
70620	,0	,7.95837565884	,0.528715103892	0.92938	,1074.81363702
70754	,0	,7.99408960342	,0.43645173105	0.929246	,1076.693223
70973	,2	,13.2159940824	,0.840499993653	0.929027	,1079.76456308
71213	,2	,14.4457588121	,0.856376310952	0.928787	,1083.14745593
71354	,0	,8.32236252725	,0.452221051075	0.928646	,1085.20056105
71499	,0	,8.4715138562	,0.483610711873	0.928501	,1087.3900249
71659	,1	,9.47977797687	,0.483584801765	0.928341	,1089.69356608
71953	,4	,17.4674639814	,1.16673418625	0.928047	,1094.03283906
72108	,1	,8.89991616085	,0.405686632762	0.927892	,1096.18546605
72309	,2	,11.9521463215	,0.669488672543	0.927691	,1099.34383011
72439	,0	,7.49997836351	,0.296360075145	0.927561	,1101.23900199
72600	,0	,9.83829731494	,0.652893438236	0.9274	,1103.61418509
72854	,3	,15.2979287021	,0.981150398799	0.927146	,1107.28115296
73052	,2	,11.5481647886	,0.562058488125	0.926948	,1110.19779897
73225	,1	,10.1369998157	,0.546540943617	0.926775	,1113.00371003
73434	,2	,12.5244275108	,0.793363940288	0.926566	,1116.36487508
73564	,0	,7.64427577704	,0.451594060149	0.926436	,1118.21273899
73700	,0	,8.26319577172	,0.529478641864	0.9263	,1120.1885159
73910	,2	,12.7890426554	,0.855608546466	0.92609	,1123.25671196
74068	,1	,8.93003356829	,0.360329055874	0.925932	,1125.74589491
74371	,4	,17.65539575	,0.88874691892	0.925629	,1130.40706491
74529	,1	,9.3742454201	,0.544841265613	0.925471	,1132.71907306
74731	,2	,12.1113823429	,0.669222428171	0.925269	,1135.66675401
